,S,K,T,r,sigma,value
0,187.98909354748835,61.18979898921503,2.119642582229459,0.030968209850398547,1.392016480910765,27.814476710311318
1,191.4854007028854,80.60913231807868,0.25279976557414374,0.03064344235989802,0.7888917843261839,0.23558363802678772
2,48.78683744734897,93.98098065608917,0.47083197307176805,0.011842868208772457,0.8349543334671343,47.083156873874984
3,160.72773669573235,132.7525293848765,4.783082430670559,0.015359381815678166,0.22495207452947508,12.705313198804241
4,4.724020592628642,140.8048565363025,2.9342185243253525,0.01996823628940415,0.19367123652403156,128.06794919613617
5,104.38267611508316,58.89245866664005,3.8528858894356564,0.003834453152188694,0.08201490886265927,0.00040305071355076216
6,190.74867225988172,82.67723983335216,4.594403116388831,0.03456188977606123,0.3939358315204318,5.413933318304485
7,65.520459121067,66.22124044913024,1.5199727587215466,0.045411530486328525,0.579820785285182,15.974923629254032
8,125.923793625043,97.7984036498383,2.2895094961511053,0.02798000197419894,0.10170044659189562,0.11947952052405908
9,195.53680456385175,80.81850174170339,3.3466051909399552,0.04790494873784481,1.466461475484109,48.94117445325701
10,158.31245703095286,146.38886022852466,4.7249057824628125,0.017573905636336862,1.0744542023486512,99.29893069082604
11,143.21721738691494,139.76107514936365,0.14130472012753248,0.04896111202390395,1.352663403556299,26.141111228129475
12,173.71770881705726,101.26950465129119,4.7431479310209514,0.032780075108931134,0.27801011631604716,4.49361899290219
13,94.2893525965879,133.6567341432235,4.415879719971512,0.007091387082111213,0.8283087357183324,87.42076617496215
14,166.9060207607523,106.74154065879398,2.3827060624946803,0.030965897751783107,1.0181634699693616,44.92599922395151
15,42.21537116997276,63.30533170832135,1.1690920679798922,0.036791144847094795,0.6467356954512783,25.019214305132895
16,114.80143604071533,149.23727410351336,1.863335385547083,0.00954344727459613,0.5222104363122733,54.320613446543284
17,82.20892393866231,145.73659137762098,0.5772802590292458,0.013466713089460729,0.05207618237174652,62.39909381052996
18,72.76277808019145,64.04486445545736,1.2953297592451802,0.043790339885011936,0.6886246173231143,14.718956282015583
19,192.59847734067765,82.13464801037581,4.045943551766241,0.04344226985967998,1.311298964339148,48.31119302450429
20,26.110770174042486,124.61545551300883,0.9863402065483995,0.04669612487441003,0.3126281544252561,92.89528651617698
21,69.76921724190275,111.29153203330935,1.960634480009783,0.00928424442004814,0.7020518796638288,56.62499588520529
22,94.17271905401296,104.84462470114048,1.212439039014939,0.014441752804650085,0.4610712154212533,24.485409613501695
23,88.04981559785901,60.62024892207829,0.6294407194013651,0.047858053945533004,1.1855242162548494,14.15583246475903
24,157.38357865569853,91.72851172680164,4.375024134548632,0.032465629136979035,1.4363316364138574,64.94174109330055
25,118.51646546547173,94.07246377003551,4.363167343300524,0.03331148346977834,1.3166521907324826,64.84146370361785
26,123.61339016352977,140.11698078461114,1.6796721819607292,0.030503133146418532,0.47386686588820587,35.9338974526517
27,150.32522389051505,55.80341575070412,4.055901599059904,0.030850693022248087,0.7014021945574855,12.862175216308588
28,38.65768071393671,137.11051292750727,1.6064488646530743,0.019087121208440166,0.06803180109727236,94.31248434060925
29,17.757194373003514,116.99550458083901,3.10626358357263,0.039687919060124054,0.5705330809085203,86.29839404342916
30,1.0374870378705436,141.42635539522777,3.617328661880163,0.007277408241626697,1.4080443025654408,136.93247974685102
31,145.112003135145,146.0261058591518,3.54331468927263,0.0047929890527853465,1.19412039390352,105.88648829776423
32,33.18832620290861,63.36382348173089,0.5005933206120133,0.004465155697915368,0.9500560248341055,32.711198331939656
